"cite.key","study_type","contrast_type","sampling","sampling_time","pop_cn","pop_sn","exposure_category","controls","outcome","outcomes","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"giordanoPreyResponsesPredation2022","treatment-control","Auditory cues","FIS",45,"Chipmunk","","passive interaction","positive control","foraging","GUD + foraging time + vigilance time","passive disturbance","",13.9,"","time",4.56183673469388,NA,NA,"sd",-1,36,"",3.04701829732027
"giordanoPreyResponsesPredation2022","treatment-control","Auditory cues","FIS",45,"Mouse","","passive interaction","positive control","foraging","GUD + foraging time + vigilance time","control","",9.21,"","time",2.80897959183674,NA,NA,"sd",-1,22,"",3.27877070619006
"giordanoPreyResponsesPredation2022","treatment-control","Auditory cues","FIS",45,"Mouse","","passive interaction","positive control","foraging","GUD + foraging time + vigilance time","passive disturbance","",14.21,"","time",4.62,NA,NA,"sd",-1,37,"",3.07575757575758
"giordanoPreyResponsesPredation2022","treatment-control","Auditory cues","FIS",45,"Chipmunk","","passive interaction","positive control","vigilance","GUD + foraging time + vigilance time","control","",0.81,"","time",0.283265306122449,NA,NA,"sd",-1,35,"",2.85951008645533
"giordanoPreyResponsesPredation2022","treatment-control","Auditory cues","FIS",45,"Chipmunk","","passive interaction","positive control","vigilance","GUD + foraging time + vigilance time","passive disturbance","",1.12,"","time",0.421428571428571,NA,NA,"sd",-1,36,"",2.65762711864407
"giordanoPreyResponsesPredation2022","treatment-control","Auditory cues","FIS",45,"Mouse","","passive interaction","positive control","vigilance","GUD + foraging time + vigilance time","control","",0,"","time",0,NA,NA,"sd",-1,22,"",NA
"giordanoPreyResponsesPredation2022","treatment-control","Auditory cues","FIS",45,"Mouse","","passive interaction","positive control","vigilance","GUD + foraging time + vigilance time","passive disturbance","",0,"","time",0,NA,NA,"sd",-1,37,"",NA
"grignolioEffectsHuntingHounds2011","treatment-control","spatial","GPS",NA,"Roe Deer","","lethal interaction","negative control","home range","range size","control","",84,"","ha",11,NA,NA,"sd",-1,95,"stalking",7.63636363636364
"grignolioEffectsHuntingHounds2011","treatment-control","spatial","GPS",NA,"Roe Deer","","lethal interaction","negative control","home range","range size","hunting","",86,"","ha",15,NA,NA,"sd",-1,86,"hunting with houds",5.73333333333333
"jayakodyRedDeerCervus2008","treatment-control","treatment-control","scan",NA,"Red Deer","Cervus elaphus","lethal interaction + active interaction","negative control","vigilance","vigilance time + foraging time + vigilance frequency + foraging frequency","control","Treatment_1",0.068,"proportion","n",0.0587877538267963,NA,NA,"sd",-1,96,"",1.15670348964761
"jayakodyRedDeerCervus2008","treatment-control","treatment-control","scan",NA,"Red Deer","Cervus elaphus","lethal interaction + active interaction","negative control","vigilance","vigilance time + foraging time + vigilance frequency + foraging frequency","active disturbance","Treatment_1",0.3862,"proportion","n",0.240049994792751,NA,NA,"sd",-1,96,"",1.6088315283382
"jayakodyRedDeerCervus2008","treatment-control","treatment-control","scan",NA,"Red Deer","Cervus elaphus","lethal interaction + active interaction","negative control","vigilance","vigilance time + foraging time + vigilance frequency + foraging frequency","control","Treatment_2",0.068,"proportion","n",0.0587877538267963,NA,NA,"sd",-1,96,"",1.15670348964761
"jayakodyRedDeerCervus2008","treatment-control","treatment-control","scan",NA,"Red Deer","Cervus elaphus","lethal interaction + active interaction","negative control","vigilance","vigilance time + foraging time + vigilance frequency + foraging frequency","hunted","Treatment_2",0.573,"proportion","n",0.17660622865573,NA,NA,"sd",-1,14,"",3.24450617830125
"jayakodyRedDeerCervus2008","treatment-control","treatment-control","scan",NA,"Red Deer","Cervus elaphus","lethal interaction + active interaction","negative control","foraging","vigilance time + foraging time + vigilance frequency + foraging frequency","control","Treatment_1",0.5431,"proportion","n",0.373302236800156,NA,NA,"sd",-1,96,"",1.45485332382496
"jayakodyRedDeerCervus2008","treatment-control","treatment-control","scan",NA,"Red Deer","Cervus elaphus","lethal interaction + active interaction","negative control","foraging","vigilance time + foraging time + vigilance frequency + foraging frequency","active disturbance","Treatment_1",0.4261,"proportion","n",0.32039325835604,NA,NA,"sd",-1,96,"",1.32992810830774
"jayakodyRedDeerCervus2008","treatment-control","treatment-control","scan",NA,"Red Deer","Cervus elaphus","lethal interaction + active interaction","negative control","foraging","vigilance time + foraging time + vigilance frequency + foraging frequency","control","Treatment_2",0.5431,"proportion","n",0.373302236800156,NA,NA,"sd",-1,96,"",1.45485332382496
"jayakodyRedDeerCervus2008","treatment-control","treatment-control","scan",NA,"Red Deer","Cervus elaphus","lethal interaction + active interaction","negative control","foraging","vigilance time + foraging time + vigilance frequency + foraging frequency","hunted","Treatment_2",0.2629,"proportion","n",0.14929212973228,NA,NA,"sd",-1,14,"",1.76097695485655
"lesmerisesRefugePredationRisk2017","treatment-control","spatial","FIS",1800,"Gaspesie Caribou","Rangifer tarandus caribou","active interaction + passive interaction","none","foraging","foraging time + vigilance time","passive disturbance","",0.422,"proportion","n",0.421,NA,NA,"sd",-1,9,"",1.00237529691211
